Time,Source,Destination,Protocol,Length
2024-11-15 09:33:12.726316,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:12.791720,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:12.791720,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:12.793453,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:12.865648,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:12.865648,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:12.867360,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:12.887169,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:12.890082,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:12.891389,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:12.937164,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:12.937164,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:12.938062,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:12.970181,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.010541,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.010541,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.011170,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.034980,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.034980,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.036346,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.080948,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.080948,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.081870,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.152058,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.153209,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.153596,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.180077,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.180077,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.180692,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.225057,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.225057,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.225713,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.241720,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.241720,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.242329,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.296599,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.296599,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.297832,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.323377,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.323377,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.323945,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.367098,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.369148,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.369695,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.385950,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.385950,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.386564,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.441022,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.441972,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:13.467074,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.467559,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:13.512647,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.512647,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.513406,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:13.530627,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.530627,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.531357,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:13.584159,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.584159,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.584960,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:13.608940,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.609590,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:13.656710,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.658174,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:13.674326,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.675205,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:13.685684,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.686537,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.728122,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.728122,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.729088,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.752182,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.800512,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.801513,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.817100,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.829582,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.830409,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.872167,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.872167,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.873545,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.943148,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.944730,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.945976,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:33:13.973163,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:13.974278,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:14.016794,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.016794,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.018391,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:14.034634,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.036002,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:33:14.089150,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.090189,192.168.1.34,146.75.122.172,6,74
2024-11-15 09:33:14.117940,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:33:14.117940,146.75.122.172,192.168.1.34,6,1466
